1: 0.0104945
2: 0.0093684
4: 0.00906472
8: 0.00909932
16: 0.00952969
32: 0.0104835
64: 0.0106614
128: 0.0203033

1: 0.0843053
2: 0.0727157
4: 0.0716224
8: 0.0706326
16: 0.0723477
32: 0.075596
64: 0.0822057
128: 0.083749

1: 0.265107
2: 0.25295
4: 0.246485
8: 0.239233
16: 0.237546
32: 0.238264
64: 0.249639
128: 0.248967

1: 0.653957
2: 0.602363
4: 0.575931
8: 0.564085
16: 0.560378
32: 0.573834
64: 0.606257
128: 0.673454

1: 1.75278
2: 1.43824
4: 1.2593
8: 1.1768
16: 1.13237
32: 1.13505
64: 1.16316
128: 1.36802

1: 3.46614
2: 2.69163
4: 2.25879
8: 2.05513
16: 1.96744
32: 1.97394
64: 2.03604
128: 2.16882

1: 5.83455
2: 4.43644
4: 3.76045
8: 3.37235
16: 3.18692
32: 3.19336
64: 3.3098
128: 3.8507

1: 8.08791
2: 6.89422
4: 6.28002
8: 5.9089
16: 5.77881
32: 5.94145
64: 6.20965
128: 7.38156

1: 16.0394
2: 12.2184
4: 10.4503
8: 9.04071
16: 8.50311
32: 8.62098
64: 9.41218
128: 9.54277
